Código	Estado	Região	2016	2017	2018	2019	2020	2021	2022
2205524	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2707008	AL	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3162658	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2201919	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	35.12575531
5204201	GO	CO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2406155	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	33.8854599	29.00024605	30.71780586
2108306	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2202117	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2806015
2108256	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3142502	MG	SD	28.83252144	38.73337555	38.77230072	38.74629211	28.94090652	28.96866798	26.27989578
2504207	PB	NE	28.83252144	28.90787888	28.94265175	28.92514229	28.94471169	28.96866798	26.28692245
2413201	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2415008	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	43.78829956	28.96866798	35.11525726
1301308	AM	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
4300001	RS	SL	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3120003	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2405504	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2205581	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.6902771
1507300	PA	NO	28.83252144	28.90787888	28.94265175	28.92716408	28.94816399	28.97814369	30.70203972
2806909	SE	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.98905182	35.14447784
3515657	SP	SD	28.83252144	28.90787888	28.96409798	33.82331467	33.87389755	33.88536072	39.56723404
2807303	SE	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2870369
2211357	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2206753	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
4313334	RS	SL	28.83252144	38.73381424	38.77705765	38.78236771	38.79961395	38.88014984	35.1535759
2207934	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29190826
3166600	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28321648
1713700	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2209351	PI	NE	28.83252144	28.90787888	28.94265175	28.93954849	28.96227264	28.9889164	35.11557388
2205565	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2211605	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29084778
2210201	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2513802	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29732513
2508406	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28456497
5220280	GO	CO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2411908	RN	NE	28.83252144	28.93808937	38.75737762	33.81543732	28.94090652	28.96866798	35.11833954
1501956	PA	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2820816
1505486	PA	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.97720528	26.27989578
4203253	SC	SL	28.83252144	38.74921417	38.81781006	38.81368256	38.82567978	43.80153275	44.01698685
2202174	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2205516	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2209500	PI	NE	28.83252144	28.90787888	28.95200539	33.79922867	33.85443115	28.99400139	30.69765091
3127909	MG	SD	28.83252144	38.71938324	38.76795197	38.74415588	38.76153183	38.79862213	30.70202637
2414902	RN	NE	28.83252144	28.90787888	28.94265175	28.94788551	28.95464516	28.99314308	30.70742607
1711100	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2501534	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	29.00298882	35.12617493
3532868	SP	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28030968
2209971	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2205540	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
4107520	PR	SL	28.83252144	38.73365021	38.78878784	38.80147171	38.8211441	38.85943604	39.57203293
2505352	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2513968	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2864666
3115003	MG	SD	28.83252144	38.71842575	38.74900818	38.71726227	38.73968506	33.92037964	35.1137886
2206670	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28376198
2703502	AL	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1703073	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2514800	PB	NE	28.83252144	28.90787888	33.81081772	33.84973145	33.82767105	28.96866798	26.2845726
2201309	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2512200	PB	NE	28.83252144	33.81301498	33.84797668	33.83260345	33.87110519	38.79840851	35.11359406
5209291	GO	CO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28033829
2209757	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1711803	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2410702	RN	NE	28.83252144	28.90787888	28.94265175	28.93400764	28.9500618	29.00443459	35.13698578
1303700	AM	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	35.14717865
2512747	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.68819237
2210383	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2879715
2204550	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2512606	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2406403	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	39.60786819
5107578	MT	CO	28.83252144	28.90787888	28.94265175	33.83098221	33.84616089	33.8826828	30.71153259
2200806	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2410801	RN	NE	28.83252144	28.92982101	38.74463654	33.80468369	28.94090652	28.96866798	30.72179222
2202653	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29412651
2203230	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2209955	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2515708	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.99185944	35.1289444
2513505	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2201556	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28911018
4112306	PR	SL	28.83252144	33.8273201	33.8639679	33.83808517	33.85019302	33.92079926	39.59126282
3149408	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28343391
1720937	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1701051	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2210979	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3125309	MG	SD	28.83252144	28.90787888	28.94265175	28.94410133	33.83363724	33.86447144	35.14633942
2204154	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3161601	MG	SD	28.83252144	28.90787888	28.94265175	28.94480133	28.96323586	28.98652649	35.14690018
2200053	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.68432808
1502004	PA	NO	28.83252144	28.91753006	28.95547867	28.93597794	28.96007729	28.98287392	26.27989578
2513356	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28151512
2210904	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2502052	PB	NE	28.83252144	28.92655563	28.97484398	33.80664063	28.97716331	33.87132645	35.15125275
3142254	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2202778	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29100227
2208858	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
5219456	GO	CO	28.83252144	33.76543045	33.85100937	33.79132462	28.94090652	28.96866798	26.29989815
2209203	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2211506	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2413805	RN	NE	28.83252144	28.91831589	33.86232758	28.95558929	28.94090652	28.96866798	35.12991333
2102150	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2800100	SE	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2203750	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28517723
1712157	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2512762	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.95716095	28.96866798	26.27989578
2515609	PB	NE	28.83252144	28.90787888	28.95939827	28.93408585	28.94090652	28.96866798	26.27989578
3160454	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28375053
2208874	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2205250	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29226112
2109452	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.96584129	28.99771881	26.28848839
2413102	RN	NE	28.83252144	28.90787888	28.94265175	28.92830467	33.81942749	28.96866798	26.27989578
2517209	PB	NE	28.83252144	28.91514778	33.81170273	33.80731964	33.83523178	33.90235138	39.59180069
1715259	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2100477	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.69312477
4312179	RS	SL	28.83252144	38.71938324	38.76795197	38.74415588	38.76153183	38.79862213	30.70301247
2502201	PB	NE	28.83252144	28.90787888	28.94265175	28.93338013	28.96912003	28.98735046	30.69582558
4115903	PR	SL	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2207355	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29952049
2401602	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.95486069	28.97872162	30.69148636
2209302	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96957397	35.12435913
2517407	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	33.85844803	35.13895798
3555901	SP	SD	28.83252144	28.91025925	28.94285202	28.9347477	28.94784164	28.97852516	30.70872307
3157377	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.68860054
1712702	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28870392
2404804	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94619751	33.88019562	35.14252472
2201770	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1301159	AM	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28322792
3168051	MG	SD	28.83252144	28.90787888	38.7454071	38.71931458	38.74943924	38.80631256	30.71529579
2207751	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1303106	AM	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28154373
2407252	RN	NE	28.83252144	28.92230034	33.82035828	28.92504501	28.96678162	33.90933228	44.02386093
5219357	GO	CO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.68470192
3153806	MG	SD	28.83252144	28.90787888	28.94265175	28.95791245	33.86113358	33.88578033	35.15623856
5107404	MT	CO	28.83252144	28.90787888	28.94265175	28.92504501	33.84516907	33.85658646	39.56793976
2801900	SE	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
5220058	GO	CO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	39.56444168
